prompt,scrambled_lines,codex_output,problem,prompt_version
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for num in numList:
sum = sum + num
def getSum(numList):
sum = 0
return sum
#End lines

#Solved Python code
","for num in numList:
sum = sum + num
def getSum(numList):
sum = 0
return sum","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
return sum
sum = 0
def getSum(numList):
for num in numList:
sum = sum + num
#End lines

#Solved Python code
","return sum
sum = 0
def getSum(numList):
for num in numList:
sum = sum + num","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
def getSum(numList):
return sum
sum = sum + num
for num in numList:
sum = 0
#End lines

#Solved Python code
","def getSum(numList):
return sum
sum = sum + num
for num in numList:
sum = 0","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = 0
return sum
sum = sum + num
for num in numList:
def getSum(numList):
#End lines

#Solved Python code
","sum = 0
return sum
sum = sum + num
for num in numList:
def getSum(numList):","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for num in numList:
def getSum(numList):
sum = sum + num
return sum
sum = 0
#End lines

#Solved Python code
","for num in numList:
def getSum(numList):
sum = sum + num
return sum
sum = 0","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = 0
def getSum(numList):
for num in numList:
return sum
sum = sum + num
#End lines

#Solved Python code
","sum = 0
def getSum(numList):
for num in numList:
return sum
sum = sum + num","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = sum + num
return sum
def getSum(numList):
for num in numList:
sum = 0
#End lines

#Solved Python code
","sum = sum + num
return sum
def getSum(numList):
for num in numList:
sum = 0","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = 0
for num in numList:
def getSum(numList):
sum = sum + num
return sum
#End lines

#Solved Python code
","sum = 0
for num in numList:
def getSum(numList):
sum = sum + num
return sum","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = sum + num
return sum
sum = 0
for num in numList:
def getSum(numList):
#End lines

#Solved Python code
","sum = sum + num
return sum
sum = 0
for num in numList:
def getSum(numList):","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for num in numList:
sum = 0
return sum
def getSum(numList):
sum = sum + num
#End lines

#Solved Python code
","for num in numList:
sum = 0
return sum
def getSum(numList):
sum = sum + num","def getSum(numList):
    sum = 0
    for num in numList:
        sum = sum + num
    return sum

",Ericson2017figure1,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
return sum / (end - start + 1)
return 0
value = numList[index]
for index in range(start,end+1):
sum = sum + value
if (end - start + 1) >= 1:
sum = 0
def avgValuesInRange(numList, start, end):
#End lines

#Solved Python code
","return sum / (end - start + 1)
return 0
value = numList[index]
for index in range(start,end+1):
sum = sum + value
if (end - start + 1) >= 1:
sum = 0
def avgValuesInRange(numList, start, end):","def avgValuesInRange(numList, start, end):
    if (end - start + 1) >= 1:
        sum = 0
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
return 0
for index in range(start,end+1):
sum = 0
def avgValuesInRange(numList, start, end):
value = numList[index]
if (end - start + 1) >= 1:
return sum / (end - start + 1)
sum = sum + value
#End lines

#Solved Python code
","return 0
for index in range(start,end+1):
sum = 0
def avgValuesInRange(numList, start, end):
value = numList[index]
if (end - start + 1) >= 1:
return sum / (end - start + 1)
sum = sum + value","def avgValuesInRange(numList, start, end):
    if (end - start + 1) >= 1:
        sum = 0
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = 0
sum = sum + value
for index in range(start,end+1):
def avgValuesInRange(numList, start, end):
return sum / (end - start + 1)
value = numList[index]
if (end - start + 1) >= 1:
return 0
#End lines

#Solved Python code
","sum = 0
sum = sum + value
for index in range(start,end+1):
def avgValuesInRange(numList, start, end):
return sum / (end - start + 1)
value = numList[index]
if (end - start + 1) >= 1:
return 0","def avgValuesInRange(numList, start, end):
    if (end - start + 1) >= 1:
        sum = 0
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    else:
        return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = sum + value
for index in range(start,end+1):
value = numList[index]
def avgValuesInRange(numList, start, end):
if (end - start + 1) >= 1:
sum = 0
return sum / (end - start + 1)
return 0
#End lines

#Solved Python code
","sum = sum + value
for index in range(start,end+1):
value = numList[index]
def avgValuesInRange(numList, start, end):
if (end - start + 1) >= 1:
sum = 0
return sum / (end - start + 1)
return 0","def avgValuesInRange(numList, start, end):
    if (end - start + 1) >= 1:
        sum = 0
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
return 0
if (end - start + 1) >= 1:
def avgValuesInRange(numList, start, end):
sum = 0
value = numList[index]
for index in range(start,end+1):
sum = sum + value
return sum / (end - start + 1)
#End lines

#Solved Python code
","return 0
if (end - start + 1) >= 1:
def avgValuesInRange(numList, start, end):
sum = 0
value = numList[index]
for index in range(start,end+1):
sum = sum + value
return sum / (end - start + 1)","def avgValuesInRange(numList, start, end):
    sum = 0
    for index in range(start,end+1):
        value = numList[index]
        sum = sum + value
    if (end - start + 1) >= 1:
        return sum / (end - start + 1)
    else:
        return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for index in range(start,end+1):
if (end - start + 1) >= 1:
sum = sum + value
def avgValuesInRange(numList, start, end):
sum = 0
value = numList[index]
return sum / (end - start + 1)
return 0
#End lines

#Solved Python code
","for index in range(start,end+1):
if (end - start + 1) >= 1:
sum = sum + value
def avgValuesInRange(numList, start, end):
sum = 0
value = numList[index]
return sum / (end - start + 1)
return 0","def avgValuesInRange(numList, start, end):
    sum = 0
    if (end - start + 1) >= 1:
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for index in range(start,end+1):
value = numList[index]
if (end - start + 1) >= 1:
sum = sum + value
def avgValuesInRange(numList, start, end):
return sum / (end - start + 1)
return 0
sum = 0
#End lines

#Solved Python code
","for index in range(start,end+1):
value = numList[index]
if (end - start + 1) >= 1:
sum = sum + value
def avgValuesInRange(numList, start, end):
return sum / (end - start + 1)
return 0
sum = 0","def avgValuesInRange(numList, start, end):
    sum = 0
    if (end - start + 1) >= 1:
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
return 0
sum = 0
value = numList[index]
if (end - start + 1) >= 1:
for index in range(start,end+1):
sum = sum + value
return sum / (end - start + 1)
def avgValuesInRange(numList, start, end):
#End lines

#Solved Python code
","return 0
sum = 0
value = numList[index]
if (end - start + 1) >= 1:
for index in range(start,end+1):
sum = sum + value
return sum / (end - start + 1)
def avgValuesInRange(numList, start, end):","def avgValuesInRange(numList, start, end):
    if (end - start + 1) >= 1:
        sum = 0
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for index in range(start,end+1):
sum = sum + value
value = numList[index]
def avgValuesInRange(numList, start, end):
sum = 0
if (end - start + 1) >= 1:
return 0
return sum / (end - start + 1)
#End lines

#Solved Python code
","for index in range(start,end+1):
sum = sum + value
value = numList[index]
def avgValuesInRange(numList, start, end):
sum = 0
if (end - start + 1) >= 1:
return 0
return sum / (end - start + 1)","def avgValuesInRange(numList, start, end):
    sum = 0
    if (end - start + 1) >= 1:
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = sum + value
return 0
sum = 0
value = numList[index]
def avgValuesInRange(numList, start, end):
return sum / (end - start + 1)
for index in range(start,end+1):
if (end - start + 1) >= 1:
#End lines

#Solved Python code
","sum = sum + value
return 0
sum = 0
value = numList[index]
def avgValuesInRange(numList, start, end):
return sum / (end - start + 1)
for index in range(start,end+1):
if (end - start + 1) >= 1:","def avgValuesInRange(numList, start, end):
    sum = 0
    for index in range(start,end+1):
        value = numList[index]
        sum = sum + value
    if (end - start + 1) >= 1:
        return sum / (end - start + 1)
    else:
        return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
if (end - start + 1) >= 1:
for index in range(start,end+1):
value = numList[index]
def avgValuesInRange(numList, start, end):
sum = 0
sum = sum + value
return sum / (end - start + 1)
return 0
#End lines

#Solved Python code
","if (end - start + 1) >= 1:
for index in range(start,end+1):
value = numList[index]
def avgValuesInRange(numList, start, end):
sum = 0
sum = sum + value
return sum / (end - start + 1)
return 0","def avgValuesInRange(numList, start, end):
    if (end - start + 1) >= 1:
        sum = 0
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = 0
def avgValuesInRange(numList, start, end):
return 0
sum = sum + value
for index in range(start,end+1):
return sum / (end - start + 1)
if (end - start + 1) >= 1:
value = numList[index]
#End lines

#Solved Python code
","sum = 0
def avgValuesInRange(numList, start, end):
return 0
sum = sum + value
for index in range(start,end+1):
return sum / (end - start + 1)
if (end - start + 1) >= 1:
value = numList[index]","def avgValuesInRange(numList, start, end):
    sum = 0
    if (end - start + 1) >= 1:
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    else:
        return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
if (end - start + 1) >= 1:
return sum / (end - start + 1)
value = numList[index]
return 0
def avgValuesInRange(numList, start, end):
sum = sum + value
sum = 0
for index in range(start,end+1):
#End lines

#Solved Python code
","if (end - start + 1) >= 1:
return sum / (end - start + 1)
value = numList[index]
return 0
def avgValuesInRange(numList, start, end):
sum = sum + value
sum = 0
for index in range(start,end+1):","def avgValuesInRange(numList, start, end):
    sum = 0
    for index in range(start,end+1):
        value = numList[index]
        sum = sum + value
    if (end - start + 1) >= 1:
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for index in range(start,end+1):
sum = 0
return 0
value = numList[index]
return sum / (end - start + 1)
def avgValuesInRange(numList, start, end):
sum = sum + value
if (end - start + 1) >= 1:
#End lines

#Solved Python code
","for index in range(start,end+1):
sum = 0
return 0
value = numList[index]
return sum / (end - start + 1)
def avgValuesInRange(numList, start, end):
sum = sum + value
if (end - start + 1) >= 1:","def avgValuesInRange(numList, start, end):
    if (end - start + 1) >= 1:
        sum = 0
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = 0
for index in range(start,end+1):
return sum / (end - start + 1)
value = numList[index]
if (end - start + 1) >= 1:
return 0
sum = sum + value
def avgValuesInRange(numList, start, end):
#End lines

#Solved Python code
","sum = 0
for index in range(start,end+1):
return sum / (end - start + 1)
value = numList[index]
if (end - start + 1) >= 1:
return 0
sum = sum + value
def avgValuesInRange(numList, start, end):","def avgValuesInRange(numList, start, end):
    if (end - start + 1) >= 1:
        sum = 0
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = 0
value = numList[index]
return 0
def avgValuesInRange(numList, start, end):
sum = sum + value
if (end - start + 1) >= 1:
return sum / (end - start + 1)
for index in range(start,end+1):
#End lines

#Solved Python code
","sum = 0
value = numList[index]
return 0
def avgValuesInRange(numList, start, end):
sum = sum + value
if (end - start + 1) >= 1:
return sum / (end - start + 1)
for index in range(start,end+1):","def avgValuesInRange(numList, start, end):
    sum = 0
    if (end - start + 1) >= 1:
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    else:
        return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = sum + value
value = numList[index]
for index in range(start,end+1):
return sum / (end - start + 1)
return 0
def avgValuesInRange(numList, start, end):
if (end - start + 1) >= 1:
sum = 0
#End lines

#Solved Python code
","sum = sum + value
value = numList[index]
for index in range(start,end+1):
return sum / (end - start + 1)
return 0
def avgValuesInRange(numList, start, end):
if (end - start + 1) >= 1:
sum = 0","def avgValuesInRange(numList, start, end):
    if (end - start + 1) >= 1:
        sum = 0
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = sum + value
if (end - start + 1) >= 1:
sum = 0
for index in range(start,end+1):
def avgValuesInRange(numList, start, end):
value = numList[index]
return sum / (end - start + 1)
return 0
#End lines

#Solved Python code
","sum = sum + value
if (end - start + 1) >= 1:
sum = 0
for index in range(start,end+1):
def avgValuesInRange(numList, start, end):
value = numList[index]
return sum / (end - start + 1)
return 0","def avgValuesInRange(numList, start, end):
    if (end - start + 1) >= 1:
        sum = 0
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
sum = sum + value
sum = 0
for index in range(start,end+1):
value = numList[index]
if (end - start + 1) >= 1:
return sum / (end - start + 1)
def avgValuesInRange(numList, start, end):
return 0
#End lines

#Solved Python code
","sum = sum + value
sum = 0
for index in range(start,end+1):
value = numList[index]
if (end - start + 1) >= 1:
return sum / (end - start + 1)
def avgValuesInRange(numList, start, end):
return 0","def avgValuesInRange(numList, start, end):
    if (end - start + 1) >= 1:
        sum = 0
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
def avgValuesInRange(numList, start, end):
sum = 0
if (end - start + 1) >= 1:
value = numList[index]
sum = sum + value
return sum / (end - start + 1)
for index in range(start,end+1):
return 0
#End lines

#Solved Python code
","def avgValuesInRange(numList, start, end):
sum = 0
if (end - start + 1) >= 1:
value = numList[index]
sum = sum + value
return sum / (end - start + 1)
for index in range(start,end+1):
return 0","def avgValuesInRange(numList, start, end):
    sum = 0
    if (end - start + 1) >= 1:
        for index in range(start,end+1):
            value = numList[index]
            sum = sum + value
        return sum / (end - start + 1)
    return 0

",Ericson2017figure4,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
return (max-min) <= 10
if value < min:
def isLevel(elList, start, end):
min = max
for index in range(start, end+1):
min = value
if value > max:
max = elList[start]
max = value
value = elList[index]
#End lines

#Solved Python code
","return (max-min) <= 10
if value < min:
def isLevel(elList, start, end):
min = max
for index in range(start, end+1):
min = value
if value > max:
max = elList[start]
max = value
value = elList[index]","def isLevel(elList, start, end):
    min = elList[start]
    max = elList[start]
    for index in range(start, end+1):
        value = elList[index]
        if value < min:
            min = value
        if value > max:
            max = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
value = elList[index]
if value > max:
return (max-min) <= 10
max = elList[start]
max = value
min = max
min = value
def isLevel(elList, start, end):
if value < min:
for index in range(start, end+1):
#End lines

#Solved Python code
","value = elList[index]
if value > max:
return (max-min) <= 10
max = elList[start]
max = value
min = max
min = value
def isLevel(elList, start, end):
if value < min:
for index in range(start, end+1):","def isLevel(elList, start, end):
    max = elList[start]
    min = max
    for index in range(start, end+1):
        value = elList[index]
        if value > max:
            max = value
        if value < min:
            min = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for index in range(start, end+1):
min = max
if value > max:
min = value
value = elList[index]
if value < min:
max = value
max = elList[start]
def isLevel(elList, start, end):
return (max-min) <= 10
#End lines

#Solved Python code
","for index in range(start, end+1):
min = max
if value > max:
min = value
value = elList[index]
if value < min:
max = value
max = elList[start]
def isLevel(elList, start, end):
return (max-min) <= 10","def isLevel(elList, start, end):
    max = elList[start]
    min = max
    for index in range(start, end+1):
        value = elList[index]
        if value > max:
            max = value
        if value < min:
            min = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for index in range(start, end+1):
min = value
if value > max:
def isLevel(elList, start, end):
value = elList[index]
max = elList[start]
if value < min:
min = max
return (max-min) <= 10
max = value
#End lines

#Solved Python code
","for index in range(start, end+1):
min = value
if value > max:
def isLevel(elList, start, end):
value = elList[index]
max = elList[start]
if value < min:
min = max
return (max-min) <= 10
max = value","def isLevel(elList, start, end):
    min = elList[start]
    max = elList[start]
    for index in range(start, end+1):
        value = elList[index]
        if value > max:
            max = value
        if value < min:
            min = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
if value > max:
max = value
min = value
return (max-min) <= 10
value = elList[index]
if value < min:
for index in range(start, end+1):
def isLevel(elList, start, end):
min = max
max = elList[start]
#End lines

#Solved Python code
","if value > max:
max = value
min = value
return (max-min) <= 10
value = elList[index]
if value < min:
for index in range(start, end+1):
def isLevel(elList, start, end):
min = max
max = elList[start]","def isLevel(elList, start, end):
    max = elList[start]
    min = max
    for index in range(start, end+1):
        value = elList[index]
        if value > max:
            max = value
        if value < min:
            min = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for index in range(start, end+1):
min = value
value = elList[index]
min = max
max = elList[start]
def isLevel(elList, start, end):
return (max-min) <= 10
if value > max:
max = value
if value < min:
#End lines

#Solved Python code
","for index in range(start, end+1):
min = value
value = elList[index]
min = max
max = elList[start]
def isLevel(elList, start, end):
return (max-min) <= 10
if value > max:
max = value
if value < min:","def isLevel(elList, start, end):
    min = elList[start]
    max = elList[start]
    for index in range(start, end+1):
        value = elList[index]
        if value > max:
            max = value
        if value < min:
            min = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
for index in range(start, end+1):
max = elList[start]
def isLevel(elList, start, end):
min = value
return (max-min) <= 10
min = max
if value > max:
value = elList[index]
max = value
if value < min:
#End lines

#Solved Python code
","for index in range(start, end+1):
max = elList[start]
def isLevel(elList, start, end):
min = value
return (max-min) <= 10
min = max
if value > max:
value = elList[index]
max = value
if value < min:","def isLevel(elList, start, end):
    max = elList[start]
    min = max
    for index in range(start, end+1):
        value = elList[index]
        if value > max:
            max = value
        if value < min:
            min = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
value = elList[index]
def isLevel(elList, start, end):
if value > max:
min = value
if value < min:
for index in range(start, end+1):
max = value
return (max-min) <= 10
max = elList[start]
min = max
#End lines

#Solved Python code
","value = elList[index]
def isLevel(elList, start, end):
if value > max:
min = value
if value < min:
for index in range(start, end+1):
max = value
return (max-min) <= 10
max = elList[start]
min = max","def isLevel(elList, start, end):
    max = elList[start]
    min = max
    for index in range(start, end+1):
        value = elList[index]
        if value > max:
            max = value
        if value < min:
            min = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
min = value
if value < min:
for index in range(start, end+1):
value = elList[index]
max = value
max = elList[start]
min = max
return (max-min) <= 10
def isLevel(elList, start, end):
if value > max:
#End lines

#Solved Python code
","min = value
if value < min:
for index in range(start, end+1):
value = elList[index]
max = value
max = elList[start]
min = max
return (max-min) <= 10
def isLevel(elList, start, end):
if value > max:","def isLevel(elList, start, end):
    max = elList[start]
    min = max
    for index in range(start, end+1):
        value = elList[index]
        if value < min:
            min = value
        if value > max:
            max = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
def isLevel(elList, start, end):
return (max-min) <= 10
max = elList[start]
if value < min:
value = elList[index]
min = max
if value > max:
min = value
max = value
for index in range(start, end+1):
#End lines

#Solved Python code
","def isLevel(elList, start, end):
return (max-min) <= 10
max = elList[start]
if value < min:
value = elList[index]
min = max
if value > max:
min = value
max = value
for index in range(start, end+1):","def isLevel(elList, start, end):
    max = elList[start]
    min = max
    for index in range(start, end+1):
        value = elList[index]
        if value < min:
            min = value
        if value > max:
            max = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
value = elList[index]
def isLevel(elList, start, end):
max = elList[start]
min = max
max = value
if value < min:
if value > max:
min = value
return (max-min) <= 10
for index in range(start, end+1):
#End lines

#Solved Python code
","value = elList[index]
def isLevel(elList, start, end):
max = elList[start]
min = max
max = value
if value < min:
if value > max:
min = value
return (max-min) <= 10
for index in range(start, end+1):","def isLevel(elList, start, end):
    max = elList[start]
    min = max
    for index in range(start, end+1):
        value = elList[index]
        if value > max:
            max = value
        if value < min:
            min = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
def isLevel(elList, start, end):
min = value
for index in range(start, end+1):
max = value
max = elList[start]
if value > max:
min = max
return (max-min) <= 10
value = elList[index]
if value < min:
#End lines

#Solved Python code
","def isLevel(elList, start, end):
min = value
for index in range(start, end+1):
max = value
max = elList[start]
if value > max:
min = max
return (max-min) <= 10
value = elList[index]
if value < min:","def isLevel(elList, start, end):
    min = elList[start]
    max = elList[start]
    for index in range(start, end+1):
        value = elList[index]
        if value < min:
            min = value
        if value > max:
            max = value
    return (max-min) <= 10

",Ericson2018figure5,1
"#Fix the below scrambled Python code by reordering the lines and indenting if needed
#Lines
if value > max:
max = value
min = value
min = max
max = elList[start]
value = elList[index]
if value < min:
for index in range(start, end+1):
def isLevel(elList, start, end):
return (max-min) <= 10
#End lines

#Solved Python code
","if value > max:
max = value
min = value
min = max
max = elList[start]
value = elList[index]
if value < min:
for index in range(start, end+1):
def isLevel(elList, start, end):
return (max-min) <= 10","def isLevel(elList, start, end):
    max = elList[start]
    min = max
    for index in range(start, end+1):
        value = elList[index]
        if value > max:
            max = value
        if value < min:
            min = value
    return (max-min) <= 10

",Ericson2018figure5,1
