folder,figure,file,msg,ok,actual,expected,errortype
V1,Ericson2017figure1,Ericson2017figure1_6,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_6,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_6,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_6,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_6,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_7,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_7,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_7,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_7,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_7,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_7,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_7,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_8,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_8,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_8,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_8,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_8,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_8,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_8,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_9,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_9,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_9,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_9,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_9,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_9,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_9,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_10,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_10,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_10,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_10,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_10,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_10,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_10,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_11,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_11,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_11,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_11,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_11,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_11,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_11,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_12,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_12,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_12,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_12,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_12,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_12,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_12,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_13,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_13,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_13,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_13,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_13,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_13,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_13,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_14,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_14,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_14,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_14,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_14,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_14,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_14,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_15,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_15,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_15,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_15,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_15,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_15,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_15,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_16,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_16,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_16,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_16,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_16,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_16,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_16,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_17,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_17,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_17,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_17,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_17,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_17,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_17,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_18,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_18,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_18,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_18,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_18,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_18,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_18,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure1,Ericson2017figure1_19,[] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_19,[0] = 0,0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_19,"[0,0,0] = 0",0,0,0,
V1,Ericson2017figure1,Ericson2017figure1_19,[-1] = -1,0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_19,"[1,0,-1,-1] = -1 ",0,-1,-1,
V1,Ericson2017figure1,Ericson2017figure1_19,"[1,2,3,4] = 10 ",0,10,10,
V1,Ericson2017figure1,Ericson2017figure1_19,"[-99,1,1,1,1,1] = 94 ",0,-94,-94,
V1,Ericson2017figure4,Ericson2017figure4_0,error running Ericson2017figure4_0,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033d3a00>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_1,error running Ericson2017figure4_1,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033d3dc0>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_2,error running Ericson2017figure4_2,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033d3e40>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_3,error running Ericson2017figure4_3,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033d3f00>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_4,error running Ericson2017figure4_4,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033d3a00>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_5,error running Ericson2017figure4_5,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e4100>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_6,error running Ericson2017figure4_6,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033d3b40>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_7,error running Ericson2017figure4_7,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e4080>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_8,error running Ericson2017figure4_8,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e42c0>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_9,error running Ericson2017figure4_9,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e4100>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_10,error running Ericson2017figure4_10,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e4480>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_11,error running Ericson2017figure4_11,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e4780>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_12,error running Ericson2017figure4_12,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e4940>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_13,error running Ericson2017figure4_13,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e4b00>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_14,error running Ericson2017figure4_14,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e4d00>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_15,error running Ericson2017figure4_15,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e4ec0>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_16,error running Ericson2017figure4_16,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e5080>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_17,error running Ericson2017figure4_17,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e5200>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_18,error running Ericson2017figure4_18,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e5380>)",successful execution,runtime error
V1,Ericson2017figure4,Ericson2017figure4_19,error running Ericson2017figure4_19,1,"(<class 'IndexError'>, IndexError('list index out of range'), <traceback object at 0x1033e5540>)",successful execution,runtime error
V1,Ericson2018figure5,Ericson2018figure5_0,"([1],0,0) = T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,1],0,0) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,99],0,0) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,1],0,1) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,99],0,1) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,99],0,2) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,1,1,9],0,3) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,1,1,9],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,1,1,10],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,1,1,11],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,1,1,12],0,4) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,1,1,-9],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([1,1,1,1,-10],0,4) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_0,"([0,3,6,9,12,15,18,21,24,27],0,1) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([0,3,6,9,12,15,18,21,24,27],0,2) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([0,3,6,9,12,15,18,21,24,27],0,3) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_0,"([0,3,6,9,12,15,18,21,24,27],0,4) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_0,"([0,3,6,9,12,15,18,21,24,27],1,5) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_0,"([0,3,6,9,12,15,18,21,24,27],2.6) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_0,"([0,3,6,9,12,15,18,21,24,27],2.6) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_0,"([0,3,6,9,12,15,18,21,24,27],0,5) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1],0,0) = T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,1],0,0) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,99],0,0) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,1],0,1) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,99],0,1) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,99],0,2) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,1,1,9],0,3) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,1,1,9],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,1,1,10],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,1,1,11],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,1,1,12],0,4) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,1,1,-9],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([1,1,1,1,-10],0,4) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_1,"([0,3,6,9,12,15,18,21,24,27],0,1) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([0,3,6,9,12,15,18,21,24,27],0,2) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([0,3,6,9,12,15,18,21,24,27],0,3) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_1,"([0,3,6,9,12,15,18,21,24,27],0,4) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_1,"([0,3,6,9,12,15,18,21,24,27],1,5) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_1,"([0,3,6,9,12,15,18,21,24,27],2.6) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_1,"([0,3,6,9,12,15,18,21,24,27],2.6) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_1,"([0,3,6,9,12,15,18,21,24,27],0,5) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1],0,0) = T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,1],0,0) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,99],0,0) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,1],0,1) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,99],0,1) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,99],0,2) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,1,1,9],0,3) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,1,1,9],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,1,1,10],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,1,1,11],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,1,1,12],0,4) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,1,1,-9],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([1,1,1,1,-10],0,4) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_2,"([0,3,6,9,12,15,18,21,24,27],0,1) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([0,3,6,9,12,15,18,21,24,27],0,2) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([0,3,6,9,12,15,18,21,24,27],0,3) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_2,"([0,3,6,9,12,15,18,21,24,27],0,4) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_2,"([0,3,6,9,12,15,18,21,24,27],1,5) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_2,"([0,3,6,9,12,15,18,21,24,27],2.6) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_2,"([0,3,6,9,12,15,18,21,24,27],2.6) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_2,"([0,3,6,9,12,15,18,21,24,27],0,5) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1],0,0) = T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,1],0,0) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,99],0,0) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,1],0,1) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,99],0,1) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,99],0,2) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,1,1,9],0,3) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,1,1,9],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,1,1,10],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,1,1,11],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,1,1,12],0,4) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,1,1,-9],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([1,1,1,1,-10],0,4) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_3,"([0,3,6,9,12,15,18,21,24,27],0,1) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([0,3,6,9,12,15,18,21,24,27],0,2) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([0,3,6,9,12,15,18,21,24,27],0,3) :",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_3,"([0,3,6,9,12,15,18,21,24,27],0,4) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_3,"([0,3,6,9,12,15,18,21,24,27],1,5) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_3,"([0,3,6,9,12,15,18,21,24,27],2.6) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_3,"([0,3,6,9,12,15,18,21,24,27],2.6) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_3,"([0,3,6,9,12,15,18,21,24,27],0,5) :",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1],0,0) = T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,1],0,0) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,99],0,0) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,1],0,1) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,99],0,1) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,99],0,2) =F",0,False,False,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,1,1,9],0,2) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,1,1,9],0,3) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,1,1,9],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,1,1,10],0,4) =T",0,True,True,
V1,Ericson2018figure5,Ericson2018figure5_4,"([1,1,1,1,11],0,4) =T",0,True,True,
